Month,Day,Hour,Minute,DHI,DNI,Dew Point,Surface Albedo,Wind Speed,Temperature,Pressure
1,1,0,30,0,0,0,0.14,3,0,990
1,1,1,30,0,0,-1,0.14,3,0,990
1,1,2,30,0,0,-1,0.14,3,0,990
1,1,3,30,0,0,-1,0.14,3,-1,990
1,1,4,30,0,0,-2,0.14,2.9000000000000000,-1,990
1,1,5,30,0,0,-2,0.14,2.7,-1,990
1,1,6,30,0,0,-2,0.14,2.6,-1,990
1,1,7,30,0,0,-2,0.14,2.6,-1,990
1,1,8,30,16,297,-2,0.14,3.1,0,990
1,1,9,30,43,667,-1,0.14,3.5,1,990
1,1,10,30,58,800,0,0.14,3.3000000000000000,3,990
1,1,11,30,65,866,0,0.14,3,5,990
1,1,12,30,165,400,1,0.14,2.8000000000000000,7,990
1,1,13,30,71,876,2,0.14,2.5,8,990
1,1,14,30,69,828,3,0.14,1.9000000000000000,7,990
1,1,15,30,63,716,4,0.14,1.6,5,990
1,1,16,30,58,91,2,0.14,1.9000000000000000,3,990
1,1,17,30,0,0,2,0.14,2.3000000000000000,3,990
1,1,18,30,0,0,2,0.14,2.7,4,990
1,1,19,30,0,0,4,0.14,3.4000000000000000,4,990
1,1,20,30,0,0,4,0.14,3.9000000000000000,5,990
1,1,21,30,0,0,4,0.14,4.1000000000000000,5,990
1,1,22,30,0,0,4,0.14,4.3,5,990
1,1,23,30,0,0,4,0.14,4.6000000000000000,6,990
1,2,0,30,0,0,4,0.14,4.7,6,980
1,2,1,30,0,0,4,0.14,4.4,5,980
1,2,2,30,0,0,4,0.14,4.2,5,980
1,2,3,30,0,0,4,0.14,4.800000000000000,5,980
1,2,4,30,0,0,6,0.14,5.6000000000000000,6,980
1,2,5,30,0,0,6,0.14,6.1000000000000000,6,980
1,2,6,30,0,0,6,0.14,6.300000000000000,7,980
1,2,7,30,0,0,6,0.14,6.4,7,980
1,2,8,30,13,0,7,0.14,6.7,7,980
1,2,9,30,3,0,8,0.14,7.1000000000000000,8,980
1,2,10,30,122,26,8,0.14,7.7,10,980
1,2,11,30,105,0,10,0.14,8.6,12,980
1,2,12,30,31,0,11,0.14,9.1,14,980
1,2,13,30,8,0,12,0.14,9,14,980
1,2,14,30,163,80,12,0.14,8.6,14,980
1,2,15,30,117,108,12,0.14,8.3,13,980
1,2,16,30,56,31,11,0.14,7.6000000000000000,12,980
1,2,17,30,0,0,11,0.14,6.5,11,980
1,2,18,30,0,0,9,0.14,5,10,980
1,2,19,30,0,0,7,0.14,3.7,7,980
1,2,20,30,0,0,4,0.14,2.8000000000000000,5,980
1,2,21,30,0,0,2,0.14,2.1,3,990
1,2,22,30,0,0,0,0.14,1.7000000000000000,1,990
1,2,23,30,0,0,0,0.14,1.4000000000000000,0,990
1,3,0,30,0,0,0,0.14,1.3,0,990
1,3,1,30,0,0,0,0.14,1.6,0,990
1,3,2,30,0,0,0,0.14,1.9000000000000000,0,990
1,3,3,30,0,0,0,0.14,1.6,0,990
1,3,4,30,0,0,0,0.14,1.3,0,990
1,3,5,30,0,0,0,0.14,1.7000000000000000,0,990
1,3,6,30,0,0,0,0.14,2.2,0,990
1,3,7,30,0,0,0,0.14,2.8000000000000000,0,990
1,3,8,30,9,0,0,0.14,3.2,0,990
1,3,9,30,4,0,0,0.14,3.4000000000000000,1,990
1,3,10,30,114,5,1,0.14,3.7,3,980
1,3,11,30,46,0,3,0.14,4.3,5,980
1,3,12,30,171,21,5,0.14,4.1000000000000000,7,980
1,3,13,30,147,1,6,0.14,2.9000000000000000,7,980
1,3,14,30,161,65,6,0.14,3.6,6,980
1,3,15,30,117,157,4,0.14,4.2,5,980
1,3,16,30,43,0,4,0.14,3.2,5,980
1,3,17,30,0,0,6,0.14,3,6,970
1,3,18,30,0,0,9,0.14,4.2,9,970
1,3,19,30,0,0,9,0.14,5.2,10,970
1,3,20,30,0,0,7,0.14,5.1000000000000000,7,970
1,3,21,30,0,0,4,0.14,4.6000000000000000,4,970
1,3,22,30,0,0,2,0.14,4.3,2,970
1,3,23,30,0,0,1,0.14,4.5,1,970
1,4,0,30,0,0,0,0.14,5.1000000000000000,1,970
1,4,1,30,0,0,0,0.14,5.800000000000000,0,980
1,4,2,30,0,0,0,0.14,6.2,0,980
1,4,3,30,0,0,-1,0.14,6.300000000000000,0,980
1,4,4,30,0,0,-1,0.14,6,0,980
1,4,5,30,0,0,-2,0.14,5.7,-1,980
1,4,6,30,0,0,-3,0.14,5.800000000000000,-1,980
1,4,7,30,0,0,-4,0.14,6,-2,980
1,4,8,30,4,0,-5,0.14,6.5,-2,980
1,4,9,30,35,0,-5,0.14,7,-1,990
1,4,10,30,58,0,-6,0.14,7.2,0,990
1,4,11,30,80,0,-6,0.14,7,0,990
1,4,12,30,86,0,-7,0.14,6.7,0,990
1,4,13,30,107,0,-7,0.14,6.4,0,990
1,4,14,30,99,0,-7,0.14,6,0,990
1,4,15,30,31,0,-7,0.14,5.4,0,990
1,4,16,30,19,0,-6,0.14,4.7,0,990
1,4,17,30,0,0,-6,0.14,4.6000000000000000,-1,990
1,4,18,30,0,0,-6,0.14,4.9,-2,990
1,4,19,30,0,0,-6,0.14,5.1000000000000000,-2,990
1,4,20,30,0,0,-6,0.14,5.1000000000000000,-3,990
1,4,21,30,0,0,-6,0.14,5,-3,990
1,4,22,30,0,0,-6,0.14,4.7,-3,1000
1,4,23,30,0,0,-7,0.14,4.2,-4,1000
1,5,0,30,0,0,-7,0.14,3.9000000000000000,-5,1000
1,5,1,30,0,0,-8,0.14,3.5,-5,1000
